icao,iata,name,callsign,country,active
SIB,5M,Sibaviatrans,SIBAVIA,Russia,Y
SIE,,Sierra Express,SEREX,United States,N
SIH,SI,Skynet Airlines,BLUEJET,Ireland,Y
SIJ,,Seco International,,Japan,N
SIL,,Servicios Aeronauticos Integrales,SERVICIOS INTEGRALES,Mexico,N
SIM,,Star Air,,Sierra Leone,N
SIO,,Sirio,SIRIO,Italy,N
SIR,,Salair,SALAIR,United States,N
SIS,,Saber Airlines,,Egypt,N
SIT,XS,SITA,,Belgium,N
SIV,,Slovenian Armed Forces,SLOVENIAN,Slovenia,N
SIW,,Sirio Executive,SIRIO EXECUTIVE,Italy,N
SJA,,Servicios Aereos Especiales De Jalisco,SERVICIOJAL,Mexico,N
SJC,,Servicios Ejecutivos Continental,SERVIEJECUTIVO,Mexico,N
SJE,,Sunair 2001,SUNBIZ,South Africa,N
SJJ,,Spirit Aviation,SPIRIT JET,United States,N
SJL,,Servicios Especiales Del Pacifico Jalisco,SERVICIOS JALISCO,Mexico,N
SJT,,Swiss Jet,SWISS JET,Switzerland,N
SJY,SJ,Sriwijaya Air,SRIWIJAYA,Indonesia,Y
SMY,ZS,Sama Airlines,NAJIM,Saudi Arabia,Y
ALC,,Southern Jersey Airways,Inc.,ACOM,N
SPS,,SPASA,SALDUERO,Spain,N
SPT,,Speed Aviation,SPEED AVIATION,Bangladesh,N
SPU,,Southeast Airmotive,SPUTTER,United States,N
SPV,,Servicios Privados De Aviacion,SERVICIOS PRIVADOS,Mexico,N
SPW,,Speedwings,SPEEDWING,Switzerland,N
SPX,,Service People Gesselschaft fur Charter und Service,,Germany,N
SQA,,Slovak National Aeroclub,SLOVAK AEROCLUB,Slovakia,N
SQC,SQ,Singapore Airlines Cargo,SINGCARGO,Singapore,Y
SQF,,Slovak Air Force,SLOVAK AIRFORCE,Slovakia,N
SQL,,Servicos De Alquiler,ALQUILER,Mexico,N
SRA,,Sair Aviation,SAIR,Canada,N
SRC,,Searca,SEARCA,Colombia,N
SRH,FT,Siem Reap Airways,SIEMREAP AIR,Cambodia,Y
SRK,SX,Sky Work Airlines,SKYFOX,Switzerland,N
SRL,SM,Swedline Express,Starline,Sweden,N
SRL,,Servicios Aeronauticos Aero Personal,SERVICIOS PERSONAL,Mexico,N
SRN,,Sirair,SIRAIR,Russia,N
SRO,,Servicios Aereos Ejecutivos Saereo,SAEREO,Ecuador,N
SRQ,DG,South East Asian Airlines,SEAIR,Philippines,Y
SRR,,Star Air,WHITESTAR,Denmark,N
SRS,,Selkirk Remote Sensing,PHOTO CHARLIE,Canada,N
SRU,,Star Up,STAR-UP,Peru,N
SRW,,Sarit Airlines,SARIA,Sudan,N
SRX,,Sierra Expressway Airlines,SIERRA EX,United States,N
SRZ,,Strato Air Services,STRATO,South Africa,N
SSB,,Sasair,SASIR,Canada,N
SSC,,Southern Seaplane,SOUTHERN SKIES,United States,N
SSD,,Star Service International,STAR SERVICE,France,N
SSE,,Servicios Aereos Sunset,SUNSET,Mexico,N
SSF,,Severstal,SEVERSTAL,Russia,N
SSG,,Slovak Government Flying Service,SLOVAK GOVERNMENT,Slovakia,N
BBB,VD,SwedJet Airways,BLACKBIRD,Sweden,N
SSK,,Skystar International,SKYSTAR,United States,N
SSO,,Special Scope Limited,DOPE,United Kingdom,N
SSP,,Starspeed,STARSPEED,United Kingdom,N
SSQ,,Sunstate Airlines,SUNSTATE,Australia,N
SSS,,SAESA,SAESA,Spain,N
SST,,Sunwest Airlines,SUNFLIGHT,Canada,N
SSU,,SASCA,SASCA,Venezuela,N
SSV,5G,Skyservice Airlines,SKYTOUR,Canada,Y
SSW,,Streamline Aviation,STREAMLINE,United Kingdom,N
SSY,,Sky Aviation,SIERRA SKY,Sierra Leone,N
SSZ,,Specsavers Aviation,SPECSAVERS,United Kingdom,N
STA,,Star Aviation,STAR,United Kingdom,N
STB,,Status-Alpha Airline,STATUS-ALPHA,Ukraine,N
STC,,Stadium City Limited,STADIUM,United Kingdom,N
STD,,Servicios De Aerotransportacion De Aguascalientes,AERO AGUASCALINETES,Mexico,N
STE,,Semitool Europe,SEMITRANS,United Kingdom,N
STF,,SFT-Sudanese Flight,,Sudan,N
STG,,Sedalia,Marshall,Boonville Stage Line,N
STH,,South-Airlines,,Armenia,N
STI,,Sontair,SONTAIR,Canada,N
STJ,,Sella Aviation,STELLAVIA,Netherlands,N
STL,,Stapleford Flight Centre,STAPLEFORD,United Kingdom,N
STO,,Streamline Ops,SLOPS,Russia,N
STQ,,Star Air,STERA,Indonesia,N
STU,FS,Servicios de Transportes A,FUEGUINO,Argentina,Y
STU,,Star African Air,STARSOM,Somali Republic,N
STV,,Southern Aviation,SOUTHERN AVIATION,Ghana,N
STW,,South West Air Corporation,SIERRA WHISKEY,Philippines,N
STX,,Stars Away Aviation,STARSAWAY,South Africa,N
STY,,Styrian Airways,STYRIAN,Austria,N
SUA,,Silesia Air,AIR SILESIA,Czech Republic,N
SUB,,Suburban Air Freight,SUB AIR,United States,N
SUD,SD,Sudan Airways,SUDANAIR,Sudan,Y
SUF,PI,Sun Air (Fiji),SUNFLOWER,Fiji,N
SUG,,Sunu Air,SUNU AIR,Senegal,N
SUH,,Sun Light,LIGHT AIR,Kyrgyzstan,N
SUI,,Swiss Air Force,SWISS AIR FORCE,Switzerland,N
SUK,,Superior Aviation Services,SKYCARGO,Kenya,N
SUM,,State Unitary Air Enterprise,SUMES,Russia,N
SUR,,Sun Air,,Egypt,N
SUS,EZ,Sun Air of Scandinavia,SUNSCAN,Denmark,N
SUT,,Sistemas Aeronauuticos 2000,SISTEMAS AERONAUTICOS,Mexico,N
SUU,,Star West Aviation,SUNSTAR,United States,N
SUV,,Sundance Air,DANCEAIR,Venezuela,N
SVA,SV,Saudi Arabian Airlines,SAUDIA,Saudi Arabia,Y
SVD,,St. Vincent Grenadines Air (1990),GRENADINES,Saint Vincent and the Grenadines,N
SVF,,Swedish Armed Forces,SWEDEFORCE,Sweden,N
AWJ,,Sahel Airlines,SAHEL AIRLINES,Niger,N
SVH,,Sterling Helicopters,SILVER,United Kingdom,N
SVI,,Servicios De Transporte Aereo,SETRA,Mexico,N
APD,,Sabre Pacific,,Australia,N
SVJ,,Silver Air,,Djibouti,N
SVL,,Sevastopol-Avia,SEVAVIA,Ukraine,N
SVN,,Savanair (Angola),SAVANAIR,Angola,N
SVO,,Servicios Aeronauticos De Oriente,SERVIORIENTE,Mexico,N
SVS,,Servicios Aereos Saar,AEREOS SAAR,Mexico,N
SVT,,Seven Four Eight Air Services,SIERRA SERVICES,Luxembourg,N
SVX,,Security Aviation,SECURITY AIR,United States,N
SWA,WN,Southwest Airlines,SOUTHWEST,United States,Y
SWB,,Swissboogie Parapro,SWISSBOOGIE,Switzerland,N
SWC,,South West Air,SAINT CLAIR,Canada,N
SWD,A4,Southern Winds Airlines,SOUTHERN WINDS,Argentina,Y
SWE,,Swedeways,SWEDELINE,Sweden,N
ASL,,Spurling Aviation,AIR SEATTLE,United States,N
SWG,WG,Sunwing Airlines,SUNWING,Canada,N
SWI,,Sunworld Airlines,SUNWORLD,United States,N
SWJ,,Stateswest Airlines,STATES,United States,N
SWO,,Surninam International Victory Airline,SIVA,Suriname,N
SWP,,Star Work Sky,STAR WORK,Italy,N
SWQ,,Swift Air (Interstate Equipment Leasing),SWIFTFLIGHT,United States,N
SWR,LX,Swiss International Air Lines,SWISS,Switzerland,Y
SWR,SR,Swissair,Swissair,Switzerland,Y
SWS,,Sunwest Aviation (Lindquist Investment),SUNNY WEST,United States,N
SWT,,Swiftair,SWIFT,Spain,N
SWU,,Swiss European Air Lines,EUROSWISS,Switzerland,Y
SWV,WV,Swe Fly,FLYING SWEDE,Sweden,Y
SWW,S8,Shovkoviy Shlyah,WAY AERO,Ukraine,N
SWX,,Swazi Express Airways,SWAZI EXPRESS,Swaziland,N
SWY,,Sky Jet,SWISSLINK,Switzerland,N
SWZ,,Servair,Private Charter,SWISSBIRD,N
SXA,,Southern Cross Aviation,FERRY,United States,N
SXC,,Sky Exec Aviation Services,SKY EXEC,Nigeria,N
SXE,,Southeast Express Airlines,DOGWOOD EXPRESS,United States,N
SXM,,Servicios Aereos Sepecializados Mexicanos,SERVIMEX,Mexico,N
SXS,XQ,SunExpress,SUNEXPRESS,Turkey,Y
SXT,,Servicios De Taxi Aereo,SERTA,Mexico,N
SXX,,Satellite Aero,SATELLITE EXPRESS,United States,N
SXY,,Safari Express Cargo,SAFARI EXPRESS,Kenya,N
SYA,,Skyways,LINEAS CARDINAL,Argentina,N
SYC,,Systec 2000,SYSTEC,United States,N
SYE,,Sheba Aviation,,Yemen,N
SYF,,Sky One Express Airlines,SKY FIRST,United States,N
SYG,,Synergy Aviation,SYNERGY,United Kingdom,N
SYI,,Sonalysts,,United States,N
SYJ,,Slate Falls Airways,,Canada,N
SYK,,Satsair,AEROCAB,United States,N
SYN,,Syncrude Canada,SYNCRUDE,Canada,N
SYR,RB,Syrian Arab Airlines,SYRIANAIR,Syrian Arab Republic,Y
SYS,,Shawbury Flying Training Unit,SHAWBURY,United Kingdom,N
SYV,,Special Aviation Systems,SPECIAL SYSTEM,United States,N
SYX,AL,Skywalk Airlines,SKYWAY-EX,United States,Y
AZQ,ZP,Silk Way Airlines,SILK LINE,Azerbaijan,N
SYY,,South African Historic Flight,SKY COACH,South Africa,N
SZT,,Servicios Aeronauticos Z,AERO ZEE,Mexico,N
BHV,,Specavia Air Company,AVIASPEC,Russia,N
BLY,,Starair,BLARNEY,Ireland,N
